"특별법범 (건)",선박직원법,소계,3814,-,6,-,178,-,-,898,-,1,2,-,255,654,1251,3,164,402
"특별법범 (건)",성매매알선 등 행위의 처벌에 관한법률,소계,3221,585,400,70,146,79,46,5,7,1377,31,46,39,99,54,82,112,43
"특별법범 (건)",수도법,소계,177,18,6,7,3,-,11,2,-,47,7,21,4,8,5,8,30,-
"특별법범 (건)",수산업법,소계,1815,-,45,-,35,-,-,10,-,30,879,-,49,322,341,12,71,21
"특별법범 (건)",수산자원관리법,소계,884,-,76,1,14,-,-,3,-,29,47,-,91,155,242,167,48,11
"특별법범 (건)",스토킹범죄의처벌등에관한법률,소계,1024,247,60,47,84,19,27,9,2,230,52,25,39,28,30,39,58,28
"특별법범 (건)",식품위생법,소계,5160,1096,906,145,195,172,95,49,23,979,105,130,265,340,105,143,388,24
"특별법범 (건)",신용정보의 이용 및 보호에 관한법률,소계,29,9,2,4,2,2,-,-,-,7,-,-,1,-,1,-,1,-
"특별법범 (건)",아동·청소년의 성보호에 관한법률(성매수등),소계,338,41,18,17,28,5,15,2,2,91,12,5,8,10,8,54,11,11
"특별법범 (건)",아동·청소년의 성보호에 관한법률(성착취물등),소계,1672,350,101,66,138,30,41,23,12,472,30,42,77,42,65,60,102,21
"특별법범 (건)",아동복지법,소계,12579,2169,657,447,789,252,446,366,72,3943,274,364,639,374,414,399,715,259
"특별법범 (건)",액화석유가스의 안전관리 및 사업법,소계,148,6,4,7,5,2,4,1,-,29,9,9,13,5,9,20,25,-
"특별법범 (건)",약사법,소계,938,239,89,30,67,79,36,6,2,204,8,50,26,24,22,22,26,8
"특별법범 (건)",여객자동차 운수 사업법,소계,418,45,9,12,10,11,7,2,1,205,6,1,60,3,6,11,24,5
"특별법범 (건)",여신전문 금융업법,소계,1925,328,232,86,143,79,80,14,23,382,41,55,77,54,75,71,164,21
"특별법범 (건)",영유아보육법,소계,137,18,11,3,9,2,2,2,-,55,3,2,7,6,2,4,9,2
"특별법범 (건)",예비군법,소계,275,34,13,8,43,6,12,6,1,71,7,20,14,3,6,9,16,6
